text,label,meta,context,source,target
Biden refuse to lift sanctions to get Iran to the negotiating table.,REJECT,PLOVER event record.|PLV|split=test|sentence_id=482,,Biden,Iran
"India and the US have both indicted Sajid Mir, for the three-day attacks on hotels, a train station and a Jewish centre which left 166 people dead.",ACCUSE,PLOVER event record.|PLV|split=test|sentence_id=483,,India and the US,Sajid Mir
Italian police arrested on Saturday the German captain of a migrant-rescue ship at the centre of a standoff with the Italian government after she docked at the port of Lampedusa.,COERCE,PLOVER event record.|PLV|split=test|sentence_id=484,,Italian police,German captain of a migrant-rescue ship
"Turkey has agreed to a ceasefire in Syria, but key questions remain unanswered.",AGREE,PLOVER event record.|PLV|split=test|sentence_id=485,,Turkey,Syria
"Ireland annually provides €10 million in bilateral and multilateral aid to the Palestinian people and organizations, including €3.5 million through the UNRWA.",AID,PLOVER event record.|PLV|split=test|sentence_id=486,,Ireland,Palestinian people and organizations
An Ethiopian rebel group declared a unilateral ceasefire on Thursday after parliament removed it from a list of banned terrorist groups as part of a reform drive led by the new prime minister.,YIELD,PLOVER event record.|PLV|split=test|sentence_id=487,,Ethiopian rebel group,recipient
"In a separate donation effort, the Overseas Community Affairs Council said that Taiwanese businesspeople based in Indonesia have started a donation campaign that has collected more than US$80,000 to help earthquake victims.",AID,PLOVER event record.|PLV|split=test|sentence_id=488,,Taiwanese businesspeople based in Indonesia,earthquake victims
Mine Safety and Health Administration has sent a large team of agency experts to Alabama to investigate the worst mining accident in recent history.,ACCUSE,PLOVER event record.|PLV|split=test|sentence_id=489,,Mine Safety and Health Administration,Alabama
Flights supporting the evacuation of sick Afghan children to Germany occurred in February and August 2000.,YIELD,PLOVER event record.|PLV|split=test|sentence_id=490,,Germany,Afghan children
The prosecutor's office has ordered an investigation against Jobbik.,ACCUSE,PLOVER event record.|PLV|split=test|sentence_id=491,,prosecutor's office,Jobbik
"An Istanbul court on September 13 formally charged Erdogan with terrorism, according to the volunteer journalist collective 140journos.",ACCUSE,PLOVER event record.|PLV|split=test|sentence_id=492,,Istanbul court,Erdogan
UN sanctions against Iran were lifted on 16 January 2016.,YIELD,PLOVER event record.|PLV|split=test|sentence_id=493,,UN,Iran
Prime Minister Yitzhak Shamir expressed impatience Monday with the reluctance of the Bush Administration to break off talks with the Palestine Liberation Organization over an abortive guerrilla raid.,ACCUSE,PLOVER event record.|PLV|split=test|sentence_id=494,,Prime Minister Yitzhak Shamir,reluctance of the Bush Administration
George Papandreou agreed to resign after an attempt last week to submit the bailout plan to a public referendum created a firestorm in global financial markets.,AGREE,PLOVER event record.|PLV|split=test|sentence_id=495,,George Papandreou,recipient
United States President Donald Trump said on Thursday that the brutal oppression of the Venezuelan people must end soon.,ACCUSE,PLOVER event record.|PLV|split=test|sentence_id=496,,United States President Donald Trump,brutal oppression of the Venezuelan people
"Saudi Arabia's ambassador to the UN Abdallah al-Mouallimi pledged the Kingdom's continued support for political efforts in Yemen, despite the Houthis' recent attack on two Saudi oil-pumping stations.",SUPPORT,PLOVER event record.|PLV|split=test|sentence_id=497,,Saudi Arabia's ambassador to the UN Abdallah al-Mouallimi,Kingdom
Netherlands and Switzerland immediately suspended military aid and weapons deals with Pakistan.,SANCTION,PLOVER event record.|PLV|split=test|sentence_id=498,,Netherlands and Switzerland,Pakistan
The Nepali government released former Prime Minister Sher Bahadur Deuba and former Minister for Physical Planning and Works Prakash Man Singh from jail at midnight Monday.,YIELD,PLOVER event record.|PLV|split=test|sentence_id=499,,Nepali government,former Prime Minister Sher Bahadur Deuba and former Minister
United Nations said EU must mediate US-Iran conflict.,REQUEST,PLOVER event record.|PLV|split=test|sentence_id=500,,United Nations,EU
"Israeli Prime Minister Benjamin Netanyahu will meet French President Emmanuel Macron in Paris in early December for talks expected to include developments in Lebanon, Netanyahu's office said on Sunday.",AGREE,PLOVER event record.|PLV|split=test|sentence_id=501,,Israeli Prime Minister Benjamin Netanyahu,French President Emmanuel Macron
China continues with its humanitarian efforts in Africa by donating medical supplies to various African countries to fight COVID-19.,AID,PLOVER event record.|PLV|split=test|sentence_id=502,,China,various African countries
Bahrain's High Criminal Court convicted Iran's Future Bank on money laundering charges.,ACCUSE,PLOVER event record.|PLV|split=test|sentence_id=503,,Bahrain's High Criminal Court,Iran's Future Bank
"In 2015, al Shabaab gunmen killed 148 students at a university in Kenya's Garissa town near the Kenya-Somali border, an attack that provoked shock and outrage in Kenya and abroad.",ASSAULT,PLOVER event record.|PLV|split=test|sentence_id=504,,al Shabaab gunmen,148 students at a university in Kenya's Garissa town near the Kenya-Somali border
"Clashes between Turkish and Syrian forces continued intermittently on Tuesday around Saraqeb, a town 15km (9 miles) east of Idlib city.",ASSAULT,PLOVER event record.|PLV|split=test|sentence_id=505,,Turkish,Syrian forces
"JUBA, Aug. 9 (Xinhua) -- South Sudanese President Salva Kiir on Wednesday night granted amnesty to rebel leader Riek Machar, a few days after warring parties signed a power-sharing deal in Sudan.",AID,PLOVER event record.|PLV|split=test|sentence_id=506,,South Sudanese President Salva Kiir,rebel leader Riek Machar
Earlier this month the EU announced fresh sanctions on a unit of the Iranian intelligence agency and two individuals over alleged assassination plots.,COERCE,PLOVER event record.|PLV|split=test|sentence_id=507,,EU,unit of the Iranian intelligence agency and two individuals over alleged assassination plots
"Indonesia has established diplomatic ties with the South Pacific island nation of Nauru, in what the Indonesian government said is an effort to expand opportunities and strengthen links between the two countries.",SUPPORT,PLOVER event record.|PLV|split=test|sentence_id=508,,Indonesia,South Pacific island nation of Nauru
"The Taliban have rejected an Afghan government call for a ceasefire for the Muslim holy month of Ramadan and to let authorities focus on tackling the coronavirus, raising new concern about prospects for a fragile peace process.",REJECT,PLOVER event record.|PLV|split=test|sentence_id=509,,Taliban,Afghan government call
U.S. President Donald Trump has accepted an invitation to meet with Kim Jong Un to negotiate Pyongyang's nuclear program.,AGREE,PLOVER event record.|PLV|split=test|sentence_id=510,,U.S. President Donald Trump,Kim Jong Un
"Indian troops remained on alert at the Galwan Valley in the Ladakh region of the western Himalayas three days after the clash, in which India said 20 of its soldiers were killed and China had also suffered casualties.",MOBILIZE,PLOVER event record.|PLV|split=test|sentence_id=511,,Indian troops,Ladakh region of the western Himalayas
"New York Governor Andrew Cuomo has declined to resign after allegations of harassment by several women, despite the pressure by the US Congress.",REJECT,PLOVER event record.|PLV|split=test|sentence_id=512,,New York Governor Andrew Cuomo,US Congress
"At the EU summit in Copenhagen last week, Czech Prime Minister Vladimir Spidla and Austrian Chancellor Wolfgang Schuessel agreed that both parties will fulfill their existing obligations concerning Temelin.",SUPPORT,PLOVER event record.|PLV|split=test|sentence_id=513,,Czech Prime Minister Vladimir Spidla,Austrian Chancellor Wolfgang Schuessel
Pakistan-based groups have launched cyber warfare against India.,COERCE,PLOVER event record.|PLV|split=test|sentence_id=514,,Pakistan-based groups,India
The US and South Korea have reduced humanitarian aid to Kim Jong-un's regime in recent years over the country's persistent threats and continued nuclear weapons development.,SANCTION,PLOVER event record.|PLV|split=test|sentence_id=515,,US and South Korea,Kim Jong-un's regime
US President Donald Trump on Saturday proposed a weekend meeting with Kim Jong Un at the demilitarized zone (DMZ) between North and South Korea.,AGREE,PLOVER event record.|PLV|split=test|sentence_id=516,,US President Donald Trump,Kim Jong Un
A Moscow court convicted a Norwegian man on Tuesday of spying on Russian navy submarines and sentenced him to 14 years in a hard labor camp.,COERCE,PLOVER event record.|PLV|split=test|sentence_id=517,,Moscow court,Norwegian man
"U.S. President, Donald Trump on Friday rejected a UN arms trade treaty approved by his predecessor Barack Obama and is currently waiting in the Senate for ratification.",REJECT,PLOVER event record.|PLV|split=test|sentence_id=518,,"U.S. President, Donald Trump",UN arms trade treaty
Secretary-General Antonio Guterres will be attending the Arab League summit in Tunis this weekend.,CONSULT,PLOVER event record.|PLV|split=test|sentence_id=519,,Secretary-General Antonio Guterres,Arab League summit in Tunis
Croatia has opened its borders to refuges from Serbia.,YIELD,PLOVER event record.|PLV|split=test|sentence_id=520,,Croatia,refuges from Serbia
"Russia demanded a meeting of the UN Security Council to discuss the poisoning of former spy Sergei Skripal and his daughter, as tensions about the use of a chemical agent on British soil continued to escalate Wednesday.",REQUEST,PLOVER event record.|PLV|split=test|sentence_id=521,,Russia,UN Security Council
Japan decided on Thursday to ease some sanctions on North Korea in return for its reopening of a probe into the fate of Japanese citizens abducted by the reclusive state decades ago.,YIELD,PLOVER event record.|PLV|split=test|sentence_id=522,,Japan,North Korea
The United States eased some sanctions against Burma.,YIELD,PLOVER event record.|PLV|split=test|sentence_id=523,,United States,Burma
"Regardless of what the EU thinks, Italian Prime Minister Giuseppe Conte plans to sign a preliminary accord at the end of March when Chinese President Xi Jinping visits.",AGREE,PLOVER event record.|PLV|split=test|sentence_id=524,,Italian Prime Minister Giuseppe Conte,Chinese President Xi Jinping
"The European Commission is allocating €95 million in humanitarian support to address the most pressing needs of people in Yemen amid record highs of child malnutrition, an imminent threat of famine and renewed fighting.",AID,PLOVER event record.|PLV|split=test|sentence_id=525,,European Commission,Yemen
The Islamic Resistance will not release the soldiers unless Israel releases the Lebanese detainees.,REQUEST,PLOVER event record.|PLV|split=test|sentence_id=526,,Islamic Resistance,Israel
Yvon Neptune will not end the strike until the Interim Government of Haiti (IGH) drops the charges against him,THREATEN,PLOVER event record.|PLV|split=test|sentence_id=527,,Yvon Neptune,Interim Government of Haiti (IGH)
Defense Minister Waldir Pires defended Brazil's air traffic control system as one of the most secure in the world in testimony before Congress on Wednesday.,SUPPORT,PLOVER event record.|PLV|split=test|sentence_id=528,,Defense Minister Waldir Pires,Brazil
"Bulgaria's Minister for Foreign Affairs, Ekaterina Zaharieva, has welcomed the visit by the Sudanese Foreign Minister, Professor Ibrahim Ahmed Ghandour, to her country saying the Sudan remains one of the best partners for the EU in combatting terrorism, violent fundamentalism, illegal migration and human trafficking.",SUPPORT,PLOVER event record.|PLV|split=test|sentence_id=529,,"Bulgaria's Minister for Foreign Affairs, Ekaterina Zaharieva","Sudanese Foreign Minister, Professor Ibrahim Ahmed Ghandour"
"Separately, a Taliban suicide bomber detonated his explosives-laden vehicle in the early morning Saturday near an Afghan army base in southern Helmand province, killing at least six people and wounding many more.",ASSAULT,PLOVER event record.|PLV|split=test|sentence_id=530,,Taliban suicide bomber,Afghan army base in southern Helmand province
The U.S. Treasury Department removed the sanctions on Rusal and other companies linked to Russian oligarch Oleg Deripaska.,YIELD,PLOVER event record.|PLV|split=test|sentence_id=531,,U.S. Treasury Department,Rusal and other companies linked to Russian oligarch Oleg Deripaska
A rebel leader dropped his guns and surrendered on Friday in the Democratic Republic of Congo.,YIELD,PLOVER event record.|PLV|split=test|sentence_id=532,,rebel leader,Democratic Republic of Congo
"WASHINGTON - Attorney General William Barr has declared a law enforcement emergency in Alaska, clearing the way for the Justice Department to award more than $10 million to combat crime in rural Alaskan communities.",COERCE,PLOVER event record.|PLV|split=test|sentence_id=533,,Attorney General William Barr,Alaska
"Britain is deploying 300 troops to the UN peacekeeping mission in Mali to help strengthen security and human rights there, its defense ministry said Thursday.",AID,PLOVER event record.|PLV|split=test|sentence_id=534,,Britain,Mali
"Secretary of State Rex Tillerson and Russian Foreign Minister Sergey Lavrov will attend the meeting between President Trump and President Vladimir Putin at the G20 summit, along with translators for each side.",AGREE,PLOVER event record.|PLV|split=test|sentence_id=535,,Secretary of State Rex Tillerson and Russian Foreign Minister Sergey Lavrov,President Trump and President Vladimir Putin
"(Reuters) - Philippine President Gloria Macapagal Arroyo pardoned Joseph Estrada on Thursday, overturning a conviction by an anti-graft court that found the former movie star president guilty of plunder and jailed him for life.",YIELD,PLOVER event record.|PLV|split=test|sentence_id=536,,Philippine President Gloria Macapagal Arroyo,Joseph Estrada
The FLA will not release the kidnap victims in the coming weeks.,REJECT,PLOVER event record.|PLV|split=test|sentence_id=537,,FLA,kidnap victims
"The Soviet Union also lifted its boycott of the Security Council, allowing its ambassador to the UN to exercise his veto power again, thus eliminating the possibility of any further substantial action within the Security Council.",YIELD,PLOVER event record.|PLV|split=test|sentence_id=538,,Soviet Union,Security Council
"Russia has refused to join in the North Atlantic Treaty Organisation (NATO) exercises, called Peace Shield 2000.",REJECT,PLOVER event record.|PLV|split=test|sentence_id=539,,Russia,North Atlantic Treaty Organisation (NATO)
"Although, US President Trump in 2017 renouncing the President Obama's Af-Pak Policy has increased the US military in Afghanistan.",MOBILIZE,PLOVER event record.|PLV|split=test|sentence_id=540,,US President Trump,Afghanistan
"Somalia's al Shabaab fighters attacked a military base outside the capital Mogadishu using car bombs and guns, killing 17 soldiers and taking control of the base and a nearby town, the group said on Friday.",ASSAULT,PLOVER event record.|PLV|split=test|sentence_id=541,,Somalia's al Shabaab fighters,military base outside the capital Mogadishu
Russia is ready to contribute to the normalization of the situation in Mali and the creation of conditions for lasting peace and stability there.,AGREE,PLOVER event record.|PLV|split=test|sentence_id=542,,Russia,Mali
"Spanish police arrested a Moroccan man in Barcelona with suspected links to Islamic State who they believed was planning a militant attack, police said on Friday.",COERCE,PLOVER event record.|PLV|split=test|sentence_id=543,,Spanish police,Moroccan man
"Syrian government warplanes attacked the final rebel-held city near Damascus on Friday, killing dozens of people, as civilians who had spent days agonizing over whether to stay or go feared that their decision had been made for them.",ASSAULT,PLOVER event record.|PLV|split=test|sentence_id=544,,Syrian government warplanes,final rebel-held city near Damascus
"WASHINGTON - The Senate has confirmed President Donald Trump's nominee for a Philadelphia-based appeals court, despite opposition from the nominee's two home-state senators.",YIELD,PLOVER event record.|PLV|split=test|sentence_id=545,,Senate,President Donald Trump's nominee
"International Monetary Fund chief Christine Lagarde has postponed a planned trip to the Middle East with a stop in Saudi Arabia for an investment conference, after a prominent journalist's disappearance.",REJECT,PLOVER event record.|PLV|split=test|sentence_id=546,,International Monetary Fund chief Christine Lagarde,Middle East
The US has offered logistical support to French operations in the country's former colony.,AGREE,PLOVER event record.|PLV|split=test|sentence_id=547,,US,French operations
RTC workers will not end the strike until the government fulfils our demands.,REQUEST,PLOVER event record.|PLV|split=test|sentence_id=548,,RTC workers,government
Britain and the United States on Wednesday signed an agreement on customs processes to keep trade flowing smoothly between the two countries when Britain fully leaves the orbit of the European Union at the end of the year.,SUPPORT,PLOVER event record.|PLV|split=test|sentence_id=549,,Britain,United States
Tajikistan says it will not accept refugees from Afghanistan even if they are fleeing the country to avoid a military attack.,REJECT,PLOVER event record.|PLV|split=test|sentence_id=550,,Tajikistan,Afghanistan
"US troops provided emergency food relief for nearly four million people in the first three months after the earthquake, the largest emergency food distribution ever.",AID,PLOVER event record.|PLV|split=test|sentence_id=551,,US troops,nearly four million people
Zimbabwean police have fired tear gas to break up protests against the country's worsening economic crisis in the capital Harare.,COERCE,PLOVER event record.|PLV|split=test|sentence_id=552,,Zimbabwean police,capital Harare
Kuwait launched a mediation effort between the National Democratic Alliance and Hadas.,CONSULT,PLOVER event record.|PLV|split=test|sentence_id=553,,Kuwait,National Democratic Alliance and Hadas
"Former Indian prime minister Atal Behari Vajpayee followed by his successor Manmohan Singh agreed to dialogue with Pakistani President Pervez Musharraf over a range of issues including Kashmir, the Himalayan territory that is divided between India and Pakistan.",AGREE,PLOVER event record.|PLV|split=test|sentence_id=554,,Former Indian prime minister Atal Behari Vajpayee,Pakistani President Pervez Musharraf
Iran threatened to attack US Army base and kill top general.,THREATEN,PLOVER event record.|PLV|split=test|sentence_id=555,,Iran,US Army base
The European Union has imposed sanctions today against Russia for its involvement in the 2015 German Parliament (Bundestag) hack.,COERCE,PLOVER event record.|PLV|split=test|sentence_id=556,,European Union,Russia
The U.S. Government has provided peacekeeping training to AMISOM through the Department of State's Africa Contingency Operations Training and Assistance (ACOTA) program.,AID,PLOVER event record.|PLV|split=test|sentence_id=557,,U.S. Government,AMISOM
"The International Monetary Fund board last week approved a zero-interest, $118.2-million loan for recovery efforts in Mozambique.",AID,PLOVER event record.|PLV|split=test|sentence_id=558,,International Monetary Fund board,Mozambique
"MANILA, Philippines -- Candidates from an opposition coalition have expressed support of former Foreign Affairs Secretary Albert del Rosario and former Ombudsman Conchita Carpio Morales for filing a communication before the International Criminal Court.",SUPPORT,PLOVER event record.|PLV|split=test|sentence_id=559,,Candidates from an opposition coalition,former Foreign Affairs Secretary Albert del Rosario and former Ombudsman Conchita Carpio Morales
EU and UN hand over urgently needed essential medical supplies to the Nigerian Government.,AID,PLOVER event record.|PLV|split=test|sentence_id=560,,EU and UN,Nigerian Government
"The American government has imposed sanctions intended to force out Mr. Maduro, but he has the support of some other nations, including Russia and China.",COERCE,PLOVER event record.|PLV|split=test|sentence_id=561,,American government,Mr. Maduro
Texas League of United Latin American Citizens (LULAC) is demanding resignation or removal of Senator Ted Cruz for inciting acts of sedition.,REQUEST,PLOVER event record.|PLV|split=test|sentence_id=562,,Texas League of United Latin American Citizens (LULAC),Senator Ted Cruz
Libyan Prime Minister Fayez al-Sarraj meanwhile rejected the EU proposal for asylum processing centres in his country.,REJECT,PLOVER event record.|PLV|split=test|sentence_id=563,,Libyan Prime Minister Fayez al-Sarraj,EU
"Congress will fully support the Philippine Plan of Action to End Violence Against Children (PPAEVAC) , Davao City Rep. Karlo Nograles said yesterday.",SUPPORT,PLOVER event record.|PLV|split=test|sentence_id=564,,Congress,Philippine Plan of Action to End Violence Against Children (PPAEVAC)
"Ghana closed its borders with Ivory Coast, Togo and Burkina Faso to address any security concerns related to the Sunday's run-off election.",ASSAULT,PLOVER event record.|PLV|split=test|sentence_id=565,,Ghana,"Ivory Coast, Togo and Burkina Faso"
"According to the Hamas-run Gaza Health Ministry, since the launch of the demonstrations, the Israeli army has shot and killed 305 Palestinian demonstrators, including 59 children and 10 women.",ASSAULT,PLOVER event record.|PLV|split=test|sentence_id=566,,Israeli army,Palestinian demonstrators
"Washington, Nov 29 (IANS) The US Senate on Wednesday blocked an expedited vote on legislation intended to protect Special Counsel Robert Mueller, who's leading the Russia investigation, from being fired.",REJECT,PLOVER event record.|PLV|split=test|sentence_id=567,,US Senate,expedited vote on legislation intended to protect Special Counsel Robert Mueller
The British government has now reduced the humanitarian aid to the Yemen.,SANCTION,PLOVER event record.|PLV|split=test|sentence_id=568,,British government,Yemen
"Kyrgyz President Sooronbay Jeenbekov resigned Thursday, after 10 days of unrest sparked by disputed parliamentary elections in Kyrgyzstan.",YIELD,PLOVER event record.|PLV|split=test|sentence_id=569,,Kyrgyz President Sooronbay Jeenbekov,Kyrgyzstan
The Seoul Central District Prosecutors' Office has ordered a former presidential staff member of Roh to appear for questioning.,REQUEST,PLOVER event record.|PLV|split=test|sentence_id=570,,Seoul Central District Prosecutors' Office,former presidential staff member of Roh
Israel has violated a ban on the transfer of civilian populations into territory the government occupies.,REJECT,PLOVER event record.|PLV|split=test|sentence_id=571,,Israel,recipient
Suharto resigned as president of Indonesia on 21 May 1998 following the collapse of support for his three-decade-long presidency.,YIELD,PLOVER event record.|PLV|split=test|sentence_id=572,,Suharto,Indonesia
"Mr. Sisi has rejected loud appeals to release Aya Hijazi, an American aid worker imprisoned in Egypt, while Mr. Trump's White House is considering slashing foreign aid to countries including Egypt.",REJECT,PLOVER event record.|PLV|split=test|sentence_id=573,,Mr. Sisi,"loud appeals to release Aya Hijazi, an American aid worker"
"The United Kingdom's parliament on Tuesday again rejected Prime Minister Theresa May's Brexit deal, throwing further uncertainty into how the country will break away from the European Union.",REJECT,PLOVER event record.|PLV|split=test|sentence_id=574,,United Kingdom's parliament,Prime Minister Theresa May's Brexit deal
Human Rights Watch said that Sudanese authorities must ensure security so that Darfurians could safely return to their homes and farms.,REQUEST,PLOVER event record.|PLV|split=test|sentence_id=575,,Human Rights Watch,Sudanese authorities
UN Security Council members on Wednesday overwhelmingly rejected Russia's draft resolution on humanitarian aid border crossings into Syrian rebel strongholds.,REJECT,PLOVER event record.|PLV|split=test|sentence_id=576,,UN Security Council members,Russia
"Gokul Baskota said that the Government will not remove the sanctions on outlawed Bikram Chand-led Communist Party of Nepal (CPN-Maoists-Chand) , reports Republica.",REJECT,PLOVER event record.|PLV|split=test|sentence_id=577,,Gokul Baskota,outlawed Bikram Chand-led Communist Party of Nepal (CPN-Maoists-Chand)
"Last August, a UN report accused the Myanmar military of mass killings and rapes of Rohingya with ""genocidal intent"" in 2017 in an operation that drove more than 700,000 of them to flee to Bangladesh, according to UN agencies.",ACCUSE,PLOVER event record.|PLV|split=test|sentence_id=578,,UN report,Myanmar military
The Russian and US navies today began a joint military exercise in the sea of japan to test their capability of joint salvage operations at sea.,COOPERATE,PLOVER event record.|PLV|split=test|sentence_id=579,,Russian,US navies
Hong Kong police arrested a man on a London-bound flight on on suspicion of having stabbed a police officer in the arm during 's protests.,COERCE,PLOVER event record.|PLV|split=test|sentence_id=580,,Hong Kong police,man on a London-bound flight
"MANILA, Philippines -- President Duterte supports a plan to implement a major revamp in the Philippine National Police as the PNP struggles to survive the controversy brought by the alleged involvement of some police officers in the recycling of illegal drugs seized during raids.",AGREE,PLOVER event record.|PLV|split=test|sentence_id=581,,President Duterte,Philippine National Police
Mexico had decided to grant political asylum to Evo Morales in virtue of the urgent situation which he faces in Bolivia.,AID,PLOVER event record.|PLV|split=test|sentence_id=582,,Mexico,Evo Morales
"In fact, North Korea also refused to accept a request from the Chinese public security for repatriation of 20 North Korean defectors imprisoned in Dandong prison in Liaoning Province, China in February.",REJECT,PLOVER event record.|PLV|split=test|sentence_id=583,,North Korea,Chinese public security
Iran's Supreme Leader on Monday rejected US President Donald Trump of unconditional talks to improve bilateral ties and he also accused the Iranian government of economic mismanagement in the face of reimposed US sanctions.,REJECT,PLOVER event record.|PLV|split=test|sentence_id=584,,Iran's Supreme Leader,US President Donald Trump
"One year from today, the UN will lift its travel ban on key Iranian officials including IRGC commander Qasem Soleimani, the pro-Israel lobby tweeted.",AGREE,PLOVER event record.|PLV|split=test|sentence_id=585,,UN,key Iranian officials including IRGC commander Qasem Soleimani
Rep. Alexandria Ocasio-Cortez (D-N.Y.) Thursday demanded the removal of President Trump either using the 25th Amendment or impeachment.,REQUEST,PLOVER event record.|PLV|split=test|sentence_id=586,,Rep. Alexandria Ocasio-Cortez,removal of President Trump
"Obama Increases Number of Syrian Refugees for U.S. Resettlement to 10,000.",AID,PLOVER event record.|PLV|split=test|sentence_id=587,,Obama,Syrian Refugees
"Jeremy Hunt, the Foreign Secretary, on Thursday dismissed the suggestion of a prisoner swap for a British-Iranian mother being held in Tehran as a ""vile"" diplomatic ploy.",REJECT,PLOVER event record.|PLV|split=test|sentence_id=588,,"Jeremy Hunt, the Foreign Secretary",suggestion of a prisoner swap for a British-Iranian mother
The FARC said that they will lay down arms in Colombia in exchange for being able to participate in politics.,AGREE,PLOVER event record.|PLV|split=test|sentence_id=589,,FARC,Colombia
Zulu nationalist leader Mangosuthu Buthelezi on Tuesday angrily rejected President Nelson Mandela's threat to cut off funding to KwaZulu/Natal province if the Inkatha Freedom Party continued to make threats against the central government.,REJECT,PLOVER event record.|PLV|split=test|sentence_id=590,,Zulu nationalist leader Mangosuthu Buthelezi,President Nelson Mandela's threat
Algeria's President Abdelaziz Bouteflika has resigned after weeks of massive street protests.,YIELD,PLOVER event record.|PLV|split=test|sentence_id=591,,Algeria's President Abdelaziz Bouteflika,massive street protests
Russia has strengthened its forces in Crimea amid ongoing confrontation with Ukraine in the Kerch Strait and the Sea of Azov.,MOBILIZE,PLOVER event record.|PLV|split=test|sentence_id=592,,Russia,Crimea
"The United Nations has suspended aid deliveries to 100,000 people in Serb-held parts of Bosnia to press Serb forces into allowing food convoys to reach two Muslim towns that are believed to be in desperate need.",SANCTION,PLOVER event record.|PLV|split=test|sentence_id=593,,United Nations,"100,000 people in Serb-held parts of Bosnia"
"Vladimir Putin, the Russian president, will meet Angela Merkel, the German chancellor, on Saturday for talks about conflicts in Ukraine and Syria, as well as the controversial Nord Stream 2 gas pipeline.",AGREE,PLOVER event record.|PLV|split=test|sentence_id=594,,"Vladimir Putin, the Russian president","Angela Merkel, the German chancellor"
"The Red Cross has provided financial assistance to about 550 households using funds donated to the organization's New Brunswick flood appeal, she said.",AID,PLOVER event record.|PLV|split=test|sentence_id=595,,Red Cross,about 550 households
"However, last month, US President Donald Trump had halted the talks with the Taliban.",SANCTION,PLOVER event record.|PLV|split=test|sentence_id=596,,US President Donald Trump,Taliban
Azerbaijani forces violated the ceasefire about 80 times this morning.,ASSAULT,PLOVER event record.|PLV|split=test|sentence_id=597,,Azerbaijani forces,recipient
"Russia gave to Armenia some of the military equipment without demanding payment or as loans, SIPRI research showed.",AID,PLOVER event record.|PLV|split=test|sentence_id=598,,Russia,Armenia
Students have called for Egyptians to join Friday's mobilization against army rule in a march from Cairo's Ain Shams university.,THREATEN,PLOVER event record.|PLV|split=test|sentence_id=599,,Students,army rule
National Security Agency has been sharing raw intelligence information with the Israeli government without first filtering it for data on the communications of American citizens.,COOPERATE,PLOVER event record.|PLV|split=test|sentence_id=600,,National Security Agency,Israeli government
The US Trump administration has imposed sanctions on its NATO ally Turkey for acquiring the Russian S-400 missile defense system.,COERCE,PLOVER event record.|PLV|split=test|sentence_id=601,,US Trump administration,its NATO ally Turkey
BUENOS AIRES -- A court in Argentina on Tuesday convicted two former Ford Motor executives and sentenced them to prison for helping the country's military dictators kidnap and torture 24 workers during the 1970s.,COERCE,PLOVER event record.|PLV|split=test|sentence_id=602,,court in Argentina,two former Ford Motor executives
The Philippines says it will not accept refugees sent by Australia unless they are only there temporarily.,REJECT,PLOVER event record.|PLV|split=test|sentence_id=603,,Philippines,Australia
"A Czech court on Tuesday released Syrian Kurdish leader Salih Muslim, who Turkey wanted extradited on terrorism charges.",YIELD,PLOVER event record.|PLV|split=test|sentence_id=604,,Czech court,Syrian Kurdish leader Salih Muslim
"Belarusian President Alyaksandr Lukashenka has met with his Russian counterpart, Vladimir Putin, for talks expected to focus on Belarus's recent overtures to the United States and Russia's increasing economic pressure on Minsk.",CONSULT,PLOVER event record.|PLV|split=test|sentence_id=605,,Belarusian President Alyaksandr Lukashenka,"his Russian counterpart, Vladimir Putin"
The British government has announced that it will not lift the ban on Sri Lanka's Tamil Tigers.,REJECT,PLOVER event record.|PLV|split=test|sentence_id=606,,British government,Sri Lanka's Tamil Tigers
"The European Union has criticised the dissolution of one of the main opposition parties, Future Forward, a setback for political pluralism in Thailand.",ACCUSE,PLOVER event record.|PLV|split=test|sentence_id=607,,European Union,"dissolution of one of the main opposition parties, Future Forward"
"Flavia Nardelli Piccoli, Vice President of the Commission for Culture, Science, and Education of the Italian Chamber of Deputies, condemned terrorist attacks in Tehran.",ACCUSE,PLOVER event record.|PLV|split=test|sentence_id=608,,"Flavia Nardelli Piccoli, Vice President of the Commission for Culture, Science, and Education of the Italian Chamber of Deputies",Tehran
Israel's military has carried out several attacks on the Syrian army and its ally Lebanese Shia movement Hezbollah since the start of the conflict in Syria,ASSAULT,PLOVER event record.|PLV|split=test|sentence_id=609,,Israel's military,Syrian army and its ally Lebanese Shia movement Hezbollah
"The Palestinian government, thus, rejects and condemns the US administration's decision, and calls it a clear violation to the international legitimacy's resolutions and all humanitarian and international laws, said Al-Mahmoud.",ACCUSE,PLOVER event record.|PLV|split=test|sentence_id=610,,Palestinian government,US administration
Ireland has already provided over €3.5 million in humanitarian funding to Lebanon in 2020.,AID,PLOVER event record.|PLV|split=test|sentence_id=611,,Ireland,Lebanon
Myanmar Government has said it would allow UN agencies access to parts of northern Rakhine state for humanitarian aid.,AGREE,PLOVER event record.|PLV|split=test|sentence_id=612,,Myanmar Government,parts of northern Rakhine state
"Tarre plans to keep attending OAS sessions and representing Venezuela, even though Maduro's government announced plans to hold a rally next Saturday to celebrate its departure from the organization.",AGREE,PLOVER event record.|PLV|split=test|sentence_id=613,,Tarre,OAS sessions
